sample_i,sample_j,model_i,model_j,distance
0,1,distilgpt2,distilgpt2,0.0004661111530626094
0,2,distilgpt2,distilgpt2,3.5050515853729536e-05
0,3,distilgpt2,distilgpt2,7.101010991616974e-05
0,4,distilgpt2,flan_t5,0.384069642452474
0,5,distilgpt2,flan_t5,0.3431635086032384
0,6,distilgpt2,flan_t5,0.3599260642156219
0,7,distilgpt2,flan_t5,0.37972780024292985
1,2,distilgpt2,distilgpt2,0.00024658795764054275
1,3,distilgpt2,distilgpt2,0.00017386404946662104
1,4,distilgpt2,flan_t5,0.40839155061153387
1,5,distilgpt2,flan_t5,0.36647350252545186
1,6,distilgpt2,flan_t5,0.38366451309173977
1,7,distilgpt2,flan_t5,0.4039478262634988
2,3,distilgpt2,distilgpt2,7.363558865769448e-06
2,4,distilgpt2,flan_t5,0.39067741134229617
2,5,distilgpt2,flan_t5,0.3494907192864951
2,6,distilgpt2,flan_t5,0.36637183520222505
2,7,distilgpt2,flan_t5,0.38630707598961944
3,4,distilgpt2,flan_t5,0.3934610064892857
3,5,distilgpt2,flan_t5,0.352156339052334
3,6,distilgpt2,flan_t5,0.36908773677179574
3,7,distilgpt2,flan_t5,0.3890792156148746
4,5,flan_t5,flan_t5,0.0014070305260110993
4,6,flan_t5,flan_t5,0.00048134688146661553
4,7,flan_t5,flan_t5,1.5290415634083843e-05
5,6,flan_t5,flan_t5,0.0002425994850755453
5,7,flan_t5,flan_t5,0.0011295864258440425
6,7,flan_t5,flan_t5,0.00032531671169055976
